,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
연도별,시도별,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2011.14,생산량 (톤),1569,23667,14040,24158,11700,9931,20267,-,233010,109193,176995,249951,185880,468140,197115,159840,11370
2012,노지배추:면적 (ha),17,140,69,163,77,76,101,-,2069,6008,1924,1959,1950,7500,2844,1307,424
2012.1,10a당 생산량 (kg),7606,9592,8158,9201,12062,8286,9955,-,9147,4433,7004,9345,8144,7002,7380,8602,5218
2012.2,생산량 (톤),1293,13429,5629,14997,9288,6297,10055,-,189245,266338,134761,183068,158800,525183,209874,112429,22124
2012.3,노지봄배추:면적 (ha),1,34,9,4,6,0,9,-,196,5017,344,192,685,4563,1327,468,365
2012.4,10a당 생산량 (kg),4100,4329,4378,4600,4133,0,2489,-,4709,3673,4573,5126,3869,4709,4816,4809,4189
2012.5,생산량 (톤),41,1472,394,184,248,0,224,-,9230,184281,15731,9842,26501,214872,63910,22505,15290
2012.6,일반봄배추:면적 (ha),1,34,9,4,6,0,9,-,196,223,344,192,354,4563,1049,376,365
2012.7,10a당 생산량 (kg),4075,4328,4375,4598,4125,0,2491,-,4709,4063,4573,5126,4120,4709,5065,4679,4189
2012.8,생산량 (톤),41,1472,394,184,248,0,224,-,9230,9060,15731,9842,14585,214872,53132,17593,15290
2012.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,4794,0,0,331,0,278,92,0
2012.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3655,0,0,3600,0,3877,5339,0
2012.11,생산량 (톤),0,0,0,0,0,0,0,-,0,175221,0,0,11916,0,10778,4912,0
2012.12,노지가을배추:면적 (ha),16,106,60,159,71,76,92,-,1873,991,1580,1767,1265,2937,1517,839,59
2012.13,10a당 생산량 (kg),7825,11280,8725,9317,12733,8286,10685,-,9611,8280,7534,9803,10458,10566,9622,10718,11582
2012.14,생산량 (톤),1252,11957,5235,14813,9040,6297,9831,-,180015,82057,119030,173226,132299,310311,145964,89924,6834
2013,노지배추:면적 (ha),11,124,86,203,139,80,179,-,2028,6847,2475,1961,1989,7803,3440,1405,473
2013.1,10a당 생산량 (kg),7436,10260,10344,9449,12423,10648,10274,-,10200,4759,7883,9370,9318,7386,6900,9029,9660
2013.2,생산량 (톤),818,12722,8896,19182,17268,8518,18390,-,206851,325872,195104,183751,185331,576314,237356,126852,45692
2013.3,노지봄배추:면적 (ha),0,25,5,4,14,1,4,-,197,5661,525,198,569,4239,1842,411,453
2013.4,10a당 생산량 (kg),0,9864,4140,3175,4086,3100,2450,-,4342,3706,4435,5001,5701,4728,4297,5406,9685
2013.5,생산량 (톤),0,2466,207,127,572,31,98,-,8554,209770,23284,9902,32441,200420,79152,22219,43873
2013.6,일반봄배추:면적 (ha),0,25,5,4,14,1,4,-,197,562,525,198,374,4239,1712,337,453
2013.7,10a당 생산량 (kg),0,9862,4140,3166,4086,3084,2439,-,4342,4291,4435,5001,6466,4728,4326,6032,9685
2013.8,생산량 (톤),0,2466,207,127,572,31,98,-,8554,24115,23284,9902,24183,200420,74061,20328,43873
2013.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,5099,0,0,195,0,130,74,0
2013.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3641,0,0,4235,0,3916,2556,0
2013.11,생산량 (톤),0,0,0,0,0,0,0,-,0,185655,0,0,8258,0,5091,1891,0
2013.12,노지가을배추:면적 (ha),11,99,81,199,125,79,175,-,1831,1186,1950,1763,1420,3564,1598,994,20
2013.13,10a당 생산량 (kg),7440,10360,10728,9576,13357,10743,10453,-,10830,9789,8811,9861,10767,10547,9900,10526,9095
2013.14,생산량 (톤),818,10256,8689,19055,16696,8487,18292,-,198297,116102,171820,173849,152890,375894,158204,104633,1819
2014,노지배추:면적 (ha),10,110,86,186,167,63,110,-,1681,6201,2262,2020,2469,8998,3375,1162,609
2014.1,10a당 생산량 (kg),9530,10318,9665,11012,9479,11097,11637,-,11328,4725,8502,10451,9272,9076,7054,10286,9183
2014.2,생산량 (톤),953,11350,8312,20482,15830,6991,12801,-,190432,293022,192321,211109,228921,816665,238072,119521,55924
2014.3,노지봄배추:면적 (ha),0,27,4,0,65,0,4,-,176,5031,559,152,741,973,1590,378,356
2014.4,10a당 생산량 (kg),0,6074,4375,0,4038,0,3300,-,4868,3579,4222,4472,5147,4932,3920,5881,10463
2014.5,생산량 (톤),0,1640,175,0,2625,0,132,-,8568,180037,23601,6797,38137,47988,62333,22232,37248
2014.6,일반봄배추:면적 (ha),0,27,4,0,65,0,4,-,176,452,559,152,505,973,1292,351,356
2014.7,10a당 생산량 (kg),0,6073,4375,0,4039,0,3290,-,4868,4121,4222,4472,6005,4932,3809,6065,10463
2014.8,생산량 (톤),0,1640,175,0,2625,0,132,-,8568,18627,23601,6797,30325,47988,49212,21288,37248
2014.9,고랭지배추:면적 (ha),0,0,0,0,0,0,0,-,0,4579,0,0,236,0,298,27,0
2014.10,10a당 생산량 (kg),0,0,0,0,0,0,0,-,0,3525,0,0,3310,0,4403,3498,0
2014.11,생산량 (톤),0,0,0,0,0,0,0,-,0,161410,0,0,7812,0,13121,944,0
2014.12,노지가을배추:면적 (ha),10,83,82,186,102,63,106,-,1505,1170,1703,1868,1728,4003,1785,784,55
2014.13,10a당 생산량 (kg),9534,11698,9923,11012,12947,11096,11952,-,12084,9657,9907,10937,11041,12196,9845,12409,11640
2014.14,생산량 (톤),953,9710,8137,20482,13205,6991,12669,-,181864,112985,168720,204312,190784,488223,175739,97289,6402
